Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income,Sewage Company,Travel To Work Area,ITL level 2,ITL level 3,UPRNs,Distance to sea
BN3 1BA,Yes,50.826636,-0.161594,529576,104621,TQ295046,"East Sussex","Brighton and Hove","Brunswick and Adelaide",E06000043,E05002420,England,E10000011,"Hove",2011-08-01,,"Brighton and Hove, unparished area","",,,"Brighton and Hove","Brighton and Hove","Brighton and Hove 026C","Urban city and town",South East,21,,E01016853,,E02003516,"Hove Central",E43000034,E00085010,E14000755,20308,1,0,2022-02-23,"Hove",1.14721,BN,BN3,"Sussex","Southern Water",9C2XRRGQ+M9,45400,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22034121,22253039,22253040,22253041,22253042,22253043,22253044,22253045,22253046,22253047",1.00023
BN3 1BB,Yes,50.825036,-0.157681,529856,104450,TQ298044,"East Sussex","Brighton and Hove","Brunswick and Adelaide",E06000043,E05002420,England,E10000011,"Hove",2004-04-01,,"Brighton and Hove, unparished area","",12,5,"Brighton and Hove","Brighton and Hove","Brighton and Hove 029B","Urban city and town",South East,20,,E01016851,,E02003519,"Brunswick",E43000034,E00085020,E14000755,21843,1,0,2022-02-23,"Brighton",1.23269,BN,BN3,"Sussex","Southern Water",9C2XRRGR+2W,45000,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22220745,22220746,22220747,22220752,22220753,22220754,22220755,22271195",0.892308
BN3 1BD,Yes,50.831503,-0.148424,530490,105185,TQ304051,"East Sussex","Brighton and Hove","Goldsmid",E06000043,E05002423,England,E10000011,"Hove",2021-02-01,,"Brighton and Hove, unparished area","",,,"Brighton and Hove","Brighton and Hove","Brighton and Hove 020D","Urban city and town",South East,21,,E01016876,,E02003510,"Goldsmid East",E43000034,E00085174,E14000755,17451,1,0,2022-02-23,"Brighton",0.573183,BN,BN3,"Sussex","Southern Water",9C2XRVJ2+JJ,50100,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","",1.75456
BN3 1BE,No,50.827383,-0.157646,529852,104711,TQ298047,"East Sussex","Brighton and Hove","Brunswick and Adelaide",E06000043,E05002420,England,E10000011,"Hove",1999-12-01,2000-09-01,"Brighton and Hove, unparished area","",,,"Brighton and Hove","Brighton and Hove","Brighton and Hove 029C","Urban city and town",South East,34,,E01016854,,E02003519,"Brunswick",E43000034,E00085035,E14000755,9299,6,1,2022-02-23,"Brighton",1.16271,BN,BN3,"Sussex","",9C2XRRGR+XW,45000,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","",1.14875
BN3 1BF,No,50.822802,-0.158564,529800,104200,TQ298042,"East Sussex","Brighton and Hove","Brunswick and Adelaide",E06000043,E05002420,England,E10000011,"Hove",1990-07-01,1994-05-01,"Brighton and Hove, unparished area","",,,"Brighton and Hove","Brighton and Hove","Brighton and Hove 029A","Urban city and town",South East,8,,E01016850,,E02003519,"Brunswick",E43000034,E00085024,E14000755,19414,8,1,2022-02-23,"Brighton",1.39522,BN,BN3,"Sussex","",9C2XRRFR+4H,45000,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","",0.633779
BN3 1BG,Yes,50.824463,-0.156142,529966,104389,TQ299043,"East Sussex","Brighton and Hove","Brunswick and Adelaide",E06000043,E05002420,England,E10000011,"Hove",1993-08-01,,"Brighton and Hove, unparished area","",10,6,"Brighton and Hove","Brighton and Hove","Brighton and Hove 029A","Urban city and town",South East,18,,E01016850,,E02003519,"Brunswick",E43000034,E00085022,E14000755,19414,1,0,2022-02-23,"Brighton",1.15875,BN,BN3,"Sussex","Southern Water",9C2XRRFV+QG,45000,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22033855,22033856,22033857,22033858,22033859,22033860,22033861,22033862,22215921",0.855996
BN3 1BH,No,50.834409,-0.168063,529099,105474,TQ290054,"East Sussex","Brighton and Hove","Goldsmid",E06000043,E05002423,England,E10000011,"Hove",2001-06-01,2004-02-01,"Brighton and Hove, unparished area","",,,"Brighton and Hove","Brighton and Hove","Brighton and Hove 019D","Urban city and town",South East,29,,E01016873,,E02003509,"Goldsmid West",E43000034,E00085160,E14000755,7959,1,1,2022-02-23,"Hove",0.204795,BN,BN3,"Sussex","",9C2XRRMJ+QQ,44000,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","",1.73764
BN3 1BJ,No,50.834409,-0.168063,529099,105474,TQ290054,"East Sussex","Brighton and Hove","Goldsmid",E06000043,E05002423,England,E10000011,"Hove",1999-06-01,2003-04-01,"Brighton and Hove, unparished area","",,,"Brighton and Hove","Brighton and Hove","Brighton and Hove 019D","Urban city and town",South East,29,,E01016873,,E02003509,"Goldsmid West",E43000034,E00085160,E14000755,7959,1,1,2022-02-23,"Hove",0.204795,BN,BN3,"Sussex","",9C2XRRMJ+QQ,44000,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","",1.73764
BN3 1BL,No,50.822802,-0.158564,529800,104200,TQ298042,"East Sussex","Brighton and Hove","Brunswick and Adelaide",E06000043,E05002420,England,E10000011,"Hove",1994-05-01,1995-01-01,"Brighton and Hove, unparished area","",,,"Brighton and Hove","Brighton and Hove","Brighton and Hove 029A","Urban city and town",South East,8,,E01016850,,E02003519,"Brunswick",E43000034,E00085024,E14000755,19414,8,1,2022-02-23,"Brighton",1.39522,BN,BN3,"Sussex","",9C2XRRFR+4H,45000,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","",0.633779
BN3 1BN,No,50.822802,-0.158564,529800,104200,TQ298042,"East Sussex","Brighton and Hove","Brunswick and Adelaide",E06000043,E05002420,England,E10000011,"Hove",1995-01-01,1996-12-01,"Brighton and Hove, unparished area","",,,"Brighton and Hove","Brighton and Hove","Brighton and Hove 029A","Urban city and town",South East,8,,E01016850,,E02003519,"Brunswick",E43000034,E00085024,E14000755,19414,8,1,2022-02-23,"Brighton",1.39522,BN,BN3,"Sussex","",9C2XRRFR+4H,45000,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","",0.633779
